date,Open,High,Low,Close,Pair,Weekly_Return
2024-10-18,149.08099,150.32401,148.85101,149.52299,USD/JPY,0.2561334747744448
2024-10-25,149.50949,153.189,149.08801,152.332,USD/JPY,1.8786475578103312
2024-11-01,153.211,153.88449,151.791,153.06599,USD/JPY,0.48183572722737544
2024-11-08,152.349,154.718,151.295,152.608,USD/JPY,-0.2992108175042696
2024-11-15,152.698,156.752,152.645,154.32401,USD/JPY,1.1244561228769046
2024-11-22,154.42999,155.89,153.27901,154.758,USD/JPY,0.2812200123623265
2024-11-29,154.26199,154.72701,149.466,149.77901,USD/JPY,-3.2172747127773738
2024-12-06,149.668,151.231,148.645,150.037,USD/JPY,0.17224709924308357
2024-12-13,149.97,153.80299,149.69701,153.67999,USD/JPY,2.428061078267363
2024-12-20,153.642,157.931,153.161,156.41901,USD/JPY,1.7822879868745423
2024-12-27,156.444,158.08701,156.339,158.022,USD/JPY,1.02480510521068
2025-01-03,157.78101,158.077,156.019,157.28101,USD/JPY,-0.46891572059585274
2025-01-10,157.189,158.883,156.243,157.73801,USD/JPY,0.2905627322713711
2025-01-17,157.767,158.2,154.979,156.29601,USD/JPY,-0.9141740789046393
2025-01-24,156.271,156.756,154.77499,155.959,USD/JPY,-0.21562290681635954
2025-01-31,155.73199,156.25,153.715,155.065,USD/JPY,-0.5732275790432118
2025-02-07,154.90199,155.888,150.931,151.42999,USD/JPY,-2.3441846967400704
2025-02-14,151.30099,154.80499,151.222,152.314,USD/JPY,0.5837747199217258
2025-02-21,152.26199,152.392,148.925,149.28101,USD/JPY,-1.9912746037790252
2025-02-28,149.239,150.99001,148.564,150.631,USD/JPY,0.904328018681011
2025-03-07,150.7,151.308,146.94701,148.033,USD/JPY,-1.7247445744899892
2025-03-14,147.959,149.201,146.54401,148.638,USD/JPY,0.4086926563671822
2025-03-21,148.843,150.151,148.181,149.31599,USD/JPY,0.4561350394919117
2025-03-28,149.37,151.214,149.35699,149.858,USD/JPY,0.3629952826887495
2025-04-04,146.04735,147.38574,144.64049,146.98674,USD/JPY,-1.915987134487318
2024-04-05,1.07916,1.08767,1.07247,1.08375,EUR/USD,
2024-04-12,1.08386,1.08852,1.06227,1.06417,EUR/USD,-1.806689734717415
2024-04-19,1.06355,1.06901,1.06014,1.06573,EUR/USD,0.14659311952038845
2024-04-26,1.0653,1.07529,1.0624,1.06945,EUR/USD,0.34905651525245496
2024-05-03,1.06925,1.08125,1.06496,1.07634,EUR/USD,0.644256393473297
2024-05-10,1.07628,1.0791,1.0724,1.07698,EUR/USD,0.05946076518572596
2024-05-17,1.07718,1.08951,1.0766,1.08703,EUR/USD,0.933164961280597
2024-05-24,1.08684,1.08846,1.08048,1.08463,EUR/USD,-0.22078507492893085
2024-05-31,1.08487,1.08891,1.07885,1.08494,EUR/USD,0.028581175147279758
2024-06-07,1.08501,1.09161,1.07995,1.0802,EUR/USD,-0.43689051929138856
2024-06-14,1.07726,1.08524,1.06678,1.07058,EUR/USD,-0.890575819292716
2024-06-21,1.07038,1.07616,1.06711,1.06928,EUR/USD,-0.12142950550170228
2024-06-28,1.06883,1.07465,1.06661,1.07136,EUR/USD,0.194523417626824
2024-07-05,1.07456,1.08428,1.07101,1.08395,EUR/USD,1.1751418757466991
2024-07-12,1.08062,1.09115,1.08056,1.09051,EUR/USD,0.6051939665113748
2024-07-19,1.0886,1.09482,1.08717,1.08818,EUR/USD,-0.21366149783130783
2024-07-26,1.08836,1.0903,1.08258,1.08554,EUR/USD,-0.24260692164899123
2024-08-02,1.08587,1.09267,1.07776,1.09118,EUR/USD,0.519557086795519
2024-08-09,1.09229,1.10088,1.08817,1.09159,EUR/USD,0.03757400245605336
2024-08-16,1.09169,1.10475,1.09102,1.10269,EUR/USD,1.0168653065711464
2024-08-23,1.1028,1.12011,1.10228,1.11937,EUR/USD,1.5126644841251924
2024-08-30,1.1191,1.12016,1.10439,1.10485,EUR/USD,-1.2971582229289624
2024-09-06,1.10497,1.11557,1.10265,1.10863,EUR/USD,0.34212789066387916
2024-09-13,1.10831,1.1102,1.10021,1.10747,EUR/USD,-0.1046336469336051
2024-09-20,1.10783,1.11892,1.10686,1.11631,EUR/USD,0.7982157530226575
2024-09-27,1.11646,1.12141,1.10834,1.11593,EUR/USD,-0.034040723454942245
2024-10-04,1.11621,1.12091,1.09514,1.0976,EUR/USD,-1.6425761472493972
2024-10-11,1.09674,1.09973,1.09002,1.09355,EUR/USD,-0.3689868804664598
2024-10-18,1.09323,1.09368,1.08112,1.08676,EUR/USD,-0.6209135384756093
2024-10-25,1.08615,1.08719,1.07614,1.0795,EUR/USD,-0.6680407817733491
2024-11-01,1.07949,1.09059,1.07691,1.08337,EUR/USD,0.35849930523390583
2024-11-08,1.08795,1.09374,1.06824,1.07198,EUR/USD,-1.0513490312635598
2024-11-15,1.07138,1.07282,1.04964,1.05417,EUR/USD,-1.661411593499873
